GWAS_1,dataset,gene_2,nsnps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,sum_PPH3_PPH4,ratio_PPH4_PPH3,p12,gene_name,Eqtl_type,Cell_resolution,Cell_name,Treatment,significant
foo2020,expression_subtype_NK-CD56-bright_IAV,ENSG00000145335,358,1.1217741976842196e-13,0.0012336682587503166,8.644173186746198e-11,0.9505925260468292,0.0481738056078674,0.9987663316546966,0.05067766081457094,1e-5,SNCA,expression,subtype,NK-CD56-bright,IAV,Distinct
foo2020,expression_subtype_NK-CD56-bright_IAV,ENSG00000188906,928,1.455991360602666e-8,0.8299862847366467,1.0884392029500364e-9,0.06193828245712829,0.10807541715787378,0.17001369961500207,1.744888829177337,1e-5,LRRK2,expression,subtype,NK-CD56-bright,IAV,Not_signif
foo2020,expression_subtype_NK-CD56-bright_NS,ENSG00000145335,358,8.144602124155093e-11,0.8957005020674392,3.887957130650279e-12,0.04269610411431047,0.06160339373291776,0.10429949784722822,1.44283407141754,1e-5,SNCA,expression,subtype,NK-CD56-bright,NS,Not_signif
foo2020,expression_subtype_NK-CD56-dim_COV,ENSG00000145335,358,7.476126017683654e-12,0.0822185015975027,7.57837243077625e-11,0.8333451022880923,0.08443639603114356,0.9177814983192358,0.10132224428908132,1e-5,SNCA,expression,subtype,NK-CD56-dim,COV,Distinct
foo2020,expression_subtype_NK-CD56-dim_COV,ENSG00000188906,928,1.4202392559535818e-8,0.8096058365333507,1.049615940924447e-9,0.05970255046542134,0.1306915977492181,0.19039414821463943,2.1890454717661076,1e-5,LRRK2,expression,subtype,NK-CD56-dim,COV,Not_signif
foo2020,expression_subtype_NK-CD56-dim_IAV,ENSG00000145335,358,9.199552735520124e-16,1.0117184214024534e-5,8.660267798706574e-11,0.9523630738113567,0.04762680891782765,0.9999898827291843,0.050009088159230254,1e-5,SNCA,expression,subtype,NK-CD56-dim,IAV,Distinct
foo2020,expression_subtype_NK-CD56-dim_IAV,ENSG00000188906,928,1.5055384860424348e-8,0.8582305694734136,1.0538553822543772e-9,0.05999313467336642,0.08177627974397848,0.14176941441734492,1.3630939638212063,1e-5,LRRK2,expression,subtype,NK-CD56-dim,IAV,Not_signif
foo2020,expression_subtype_NK-CD56-dim_NS,ENSG00000145335,358,3.2672816500206475e-11,0.35931845039303456,5.386675971942865e-11,0.5923499585888138,0.04833159093161289,0.6406815495204267,0.08159296752000415,1e-5,SNCA,expression,subtype,NK-CD56-dim,NS,Not_signif
foo2020,expression_subtype_NK-CD56-dim_NS,ENSG00000188906,928,1.3993545701069153e-8,0.7977005441787368,1.6172444046961319e-9,0.09208062182020264,0.11021881839026967,0.2022994402104723,1.1969816907349282,1e-5,LRRK2,expression,subtype,NK-CD56-dim,NS,Not_signif
foo2020,expression_subtype_NK-innate-lymphoid_COV,ENSG00000145335,358,7.930038021471693e-11,0.8721038706335731,2.620903912121824e-12,0.028724150685570563,0.09917197859893523,0.12789612928450578,3.4525643485345516,1e-5,SNCA,expression,subtype,NK-innate-lymphoid,COV,Not_signif
foo2020,expression_subtype_NK-innate-lymphoid_IAV,ENSG00000145335,358,7.064822900947031e-11,0.7769520625971955,1.3104068245910774e-11,0.14403263469655778,0.07901530262249408,0.22304793731905187,0.5485930517688604,1e-5,SNCA,expression,subtype,NK-innate-lymphoid,IAV,Not_signif
foo2020,expression_subtype_NK-innate-lymphoid_NS,ENSG00000145335,358,8.2942443361768e-11,0.9121573654470276,2.0762645129516807e-12,0.022768590981845475,0.06507404348610794,0.08784263446795341,2.858061947618748,1e-5,SNCA,expression,subtype,NK-innate-lymphoid,NS,Not_signif
foo2020,expression_subtype_NK-innate-lymphoid_NS,ENSG00000188906,928,1.48184273493317e-8,0.8447228324363735,1.1455665692453751e-9,0.06521283283117892,0.09006431876845429,0.1552771515996332,1.3810827540893704,1e-5,LRRK2,expression,subtype,NK-innate-lymphoid,NS,Not_signif
